"ID","Category","Surface","Action promised","Timeframe (current)","Original language","Current / revised language","Status","Citation","Notes","Live URL"
"A01","Response time","Customer-visible (form)","We will contact you after form submit","2 business hours","Fill out the form and we'll call you within 2 business hours","Fill out the form and we'll call you within 2 business hours","Unchanged (canonical)","components/LeadForm.jsx:25 (default prop)","Active funnel — sets expectation on every page that uses LeadForm","https://dfwhvac.com/request-service"
"A02","Response time","Customer-visible (toast)","Success toast after lead submit","2 business hours","Thank you! We'll call you within 2 business hours to discuss your needs.","Thank you! We'll call you within 2 business hours to discuss your needs.","Unchanged (canonical)","components/LeadForm.jsx:27 (default prop)","Submit any lead form to see this toast","https://dfwhvac.com/request-service"
"A03","Response time","Customer-visible (form)","Homepage LeadForm description","2 business hours","Fill out the form and we'll call you within 2 business hours","Fill out the form and we'll call you within 2 business hours","Unchanged (canonical)","components/HomePage.jsx:45","Active funnel — homepage hero form","https://dfwhvac.com/"
"A04","Response time","Customer-visible (toast)","Homepage LeadForm success","2 business hours","Thank you! We'll call you within 2 business hours to discuss your needs.","Thank you! We'll call you within 2 business hours to discuss your needs.","Unchanged (canonical)","components/HomePage.jsx:47","Submit homepage form to see this toast","https://dfwhvac.com/"
"A05","Response time","Customer-visible (form)","/contact form description","1 business day","Fill out the form below and we'll get back to you within 24 hours","Fill out the form below and we'll get back to you within 1 business day","Updated this session","components/SimpleContactForm.jsx:16","General inquiries — intentionally lower-priority than active funnel","https://dfwhvac.com/contact"
"A06","Response time","Customer-visible (toast)","/contact form success","1 business day","Thank you! We'll get back to you within 24 hours.","Thank you! We'll get back to you within 1 business day.","Updated this session","components/SimpleContactForm.jsx:98","Submit /contact form to see this toast","https://dfwhvac.com/contact"
"A07","Response time","Customer-visible (footer)","/contact form footer copy","1 business day","We'll get back to you within 24 hours","We'll get back to you within 1 business day","Updated this session","components/SimpleContactForm.jsx:215","General inquiries","https://dfwhvac.com/contact"
"A08","Response time","Customer-visible (form)","/estimate form description","2 business hours","Fill out the form below and we'll contact you within 24 hours to schedule your free estimate.","Fill out the form below and we'll contact you within 2 business hours to schedule your free estimate.","Updated this session","components/BookServicePage.jsx:89","Active funnel — estimate request","https://dfwhvac.com/estimate"
"A09","Response time","Customer-visible (toast)","/estimate form success","2 business hours","Thank you! We'll contact you within 24 hours to schedule your free estimate.","Thank you! We'll contact you within 2 business hours to schedule your free estimate.","Updated this session","components/BookServicePage.jsx:91","Submit /estimate form to see this toast","https://dfwhvac.com/estimate"
"A10","Response time","Customer-visible (sidebar)","/estimate trust signal","2 business hours","Fast Response — Contact within 24 hours","Fast Response — Contact within 2 business hours","Updated this session","components/BookServicePage.jsx:155","Active funnel","https://dfwhvac.com/estimate"
"A10b","CTA / contrast","Customer-visible (banner CTA)","/estimate header banner phone CTA","Click-to-call (no time commitment)","[Inline electric-blue text on navy] Need immediate service? Call (972) 777-COOL — failed WCAG contrast","[White pill button on navy, prussian-blue text] 📞 Need immediate service? Call (972) 777-COOL — Option B1","Updated this session (contrast + CTA upgrade)","components/BookServicePage.jsx:71-79","Pill-button CTA on /estimate hero — replaces low-contrast inline link","https://dfwhvac.com/estimate"
"F-CONTACT","UI / contrast","Customer-visible (footer)","Footer Contact Us icons (sitewide)","N/A","Mail/MapPin/Clock all rendered in dim electric-blue (failed WCAG contrast on navy)","Phone + Mail in vivid-red (action surfaces); MapPin + Clock in alert-amber (ambient context)","Updated this session (semantic red/amber split)","components/Footer.jsx:172-194","Sitewide footer — semantic color pass per user direction Feb 28, 2026","https://dfwhvac.com/"
