URL,Page Type,Current Title,Current Length,Flag,"Format A: Plain Keyword-First","Fmt A Length","Format B: Review Badge (147 ★★★★★)","Fmt B Length","Format C: Trust / Topical Expansion","Fmt C Length","Format D: Intent / Urgency","Fmt D Length",RECOMMENDED TITLE,Rec Length,Notes
/,Home,"DFW HVAC | Trusted Air Conditioning & Heating Experts",53,Brand-first — loses keyword primacy,"AC Repair & HVAC Services in Dallas-Fort Worth | DFW HVAC",57,"AC Repair in DFW | 147 ★★★★★ Reviews | DFW HVAC",47,"DFW HVAC — 147 ★★★★★ AC Repair & Installation",46,"Same-Day AC Repair in Dallas-Fort Worth | DFW HVAC",50,,,Highest-leverage title on site
/about,Utility,"About Us | DFW HVAC - Three Generations of Trusted Service",58,Brand-first,"About DFW HVAC — 3 Generations of Texas HVAC",44,"About DFW HVAC | 147 ★★★★★ | 3 Generations Family-Owned",56,"About DFW HVAC — Family-Owned HVAC Since 2020",45,"About DFW HVAC — Trust, Excellence, Care in DFW",47,,,Brand story page
/contact,Utility,"Contact Us | DFW HVAC - Expert HVAC Service",43,OK but generic,"Contact DFW HVAC — Coppell, TX Office",37,"Contact DFW HVAC | 147 ★★★★★ | (972) 777-COOL",~48,"Contact DFW HVAC | Dallas-Fort Worth HVAC Service",49,"Contact DFW HVAC — Same-Day HVAC Service",40,,,
/request-service,Utility,"Request HVAC Service | DFW HVAC | Dallas-Fort Worth",51,Double pipe weird,"Request HVAC Service in Dallas-Fort Worth | DFW HVAC",52,"Request HVAC Service | 147 ★★★★★ | DFW HVAC",~45,"Book HVAC Service in DFW — Free Estimate | DFW HVAC",52,"Book Same-Day HVAC Service in DFW | DFW HVAC",44,,,
/estimate,Utility,"Free HVAC Estimate | DFW HVAC | Dallas-Fort Worth",49,Double pipe weird,"Free HVAC Estimate in Dallas-Fort Worth | DFW HVAC",50,"Free HVAC Estimate | 147 ★★★★★ | DFW HVAC",~43,"Free Written HVAC Estimate in DFW | DFW HVAC",44,"Free HVAC Replacement Estimate in DFW | DFW HVAC",48,,,High-intent conversion page
/recent-projects,Utility,"Our Work | Recent HVAC Projects in Dallas-Fort Worth | DFW HVAC",63,OVERFLOW (>60),"Recent HVAC Projects in Dallas-Fort Worth | DFW HVAC",52,"Our Projects | 147 ★★★★★ HVAC Jobs | DFW HVAC",~48,"Recent HVAC Installations & Repairs | DFW HVAC",46,"Our Recent HVAC Work in DFW | DFW HVAC",38,,,Trust/social-proof asset
/reviews,Utility,"5-Star HVAC Reviews Dallas | Customer Testimonials | DFW HVAC",61,OVERFLOW (>60) + stale "5-star" wording,"DFW HVAC Reviews — 147 Five-Star Testimonials",45,"147 ★★★★★ Google Reviews | DFW HVAC",35,"DFW HVAC Customer Reviews — 147 ★★★★★ | DFW HVAC",50,"Why DFW Chooses DFW HVAC — 147 ★★★★★ Reviews",44,,,THE review-badge showcase page
/faq,Utility,"HVAC FAQ Dallas | Common Questions | DFW HVAC",45,Good,"HVAC FAQ — Common Questions | DFW HVAC",39,"DFW HVAC FAQ | 147 ★★★★★ | Common Questions",~45,"HVAC Service FAQs in Dallas-Fort Worth | DFW HVAC",49,"HVAC FAQ — Repair, Install, Maintenance | DFW HVAC",51,,,AEO citation target
/privacy-policy,Legal,"Privacy Policy | DFW HVAC",25,Keep,"Privacy Policy | DFW HVAC",25,N/A,-,N/A,-,N/A,-,,,No review badge on legal pages
/terms-of-service,Legal,"Terms of Service | DFW HVAC",27,Keep,"Terms of Service | DFW HVAC",27,N/A,-,N/A,-,N/A,-,,,No review badge on legal pages
